lig_id,affinity_kcal_mol,contact_jaccard_vs_AMP,adenine_F18,phos_contacts,both_motifs
L066,-10.14,0.714,1,0,False
L067,-9.75,1.0,1,3,True
L065,-9.35,0.857,0,3,False
L052,-9.34,1.0,1,1,True
L004,-9.2,1.0,1,5,True
L056,-9.15,1.0,1,3,True
L003,-9.11,1.0,1,3,True
L068,-9.06,1.0,1,2,True
L062,-8.88,0.714,1,4,True
L002,-8.87,0.714,0,5,False
L035,-8.83,1.0,1,3,True
L057,-8.79,0.571,1,0,False
L001,-8.68,1.0,1,3,True
L061,-8.66,0.571,0,3,False
L071,-8.63,0.857,1,0,False
L055,-8.62,1.0,1,6,True
L019,-8.62,1.0,1,6,True
L064,-8.57,1.0,1,4,True
L005,-8.45,1.0,0,5,False
L041,-8.44,0.857,0,3,False
L045,-8.34,0.857,1,0,False
L049,-8.32,1.0,1,4,True
L072,-8.27,0.857,1,0,False
L000,-8.25,1.0,1,3,True
L036,-8.23,1.0,1,5,True
L070,-8.21,1.0,1,3,True
L046,-8.18,1.0,1,0,False
L034,-8.14,1.0,1,3,True
L050,-8.12,1.0,1,0,False
L008,-8.11,1.0,1,5,True
L030,-8.06,1.0,1,2,True
L039,-8.05,1.0,1,5,True
L023,-8.04,1.0,1,0,False
L025,-8.03,0.857,0,2,False
L051,-8.01,0.857,0,3,False
L033,-7.97,1.0,1,4,True
L054,-7.92,1.0,1,3,True
L053,-7.82,1.0,1,2,True
L063,-7.75,1.0,1,5,True
L048,-7.68,1.0,1,3,True
L029,-7.68,1.0,1,0,False
L006,-7.67,1.0,1,5,True
L017,-7.63,1.0,1,5,True
L058,-7.56,1.0,1,3,True
L060,-7.55,0.714,0,0,False
L037,-7.55,1.0,1,3,True
L040,-7.54,1.0,1,3,True
L020,-7.54,1.0,1,3,True
L047,-7.53,1.0,1,4,True
L027,-7.5,0.857,0,0,False
L026,-7.49,0.714,0,0,False
L022,-7.43,0.857,1,0,False
L021,-7.38,1.0,1,0,False
L018,-7.36,0.714,0,4,False
L038,-7.28,1.0,1,3,True
L031,-7.27,1.0,1,0,False
L028,-7.22,1.0,1,0,False
L043,-7.17,0.714,0,2,False
L024,-7.15,1.0,1,0,False
L012,-7.13,0.429,0,2,False
L069,-7.1,0.857,1,2,True
L059,-6.87,1.0,1,1,True
L010,-6.72,1.0,1,3,True
L044,-6.7,1.0,1,0,False
L042,-6.65,0.857,1,1,True
L013,-6.17,0.429,0,2,False
L016,-6.05,0.429,0,2,False
L011,-6.03,0.429,0,2,False
L014,-5.79,0.429,0,0,False
L015,-5.78,0.429,0,0,False
L032,-5.75,1.0,1,0,False
L009,-5.53,0.429,0,0,False
L007,-5.47,0.714,1,0,False
