lig_id,affinity_kcal_mol,ligand_efficiency,pref_name,chembl_id,mw,murcko
L055,-9.166,0.339,,CHEMBL18238,371.4,
L035,-9.1,0.396,,CHEMBL9701,343.2,
L056,-8.949,0.309,,CHEMBL17857,508.3,
L065,-8.92,0.255,,CHEMBL20503,469.6,
L052,-8.887,0.329,,CHEMBL278932,370.4,
L003,-8.864,0.403,cAMP,CURATED_cAMP,329.2,
L062,-8.785,0.325,GRISEOLIC ACID,CHEMBL416178,379.3,
L004,-8.553,0.356,GMP,CURATED_GMP,363.2,
L068,-8.55,0.295,,CHEMBL23876,418.5,
L041,-8.522,0.355,,CHEMBL439718,335.4,
L064,-8.514,0.327,,CHEMBL280360,365.3,
L063,-8.21,0.411,,CHEMBL20353,280.3,
L070,-8.205,0.283,,CHEMBL281913,471.2,
L051,-8.196,0.373,,CHEMBL277076,308.3,
L005,-8.194,0.356,IMP,CURATED_IMP,348.2,
