lig_id,best_affinity,status,sec
N0146,-10.488,ok,79.0
N0143,-9.834,ok,71.8
N0141,-9.716,ok,187.7
N0150,-9.7,ok,110.5
N0123,-9.678,ok,58.1
N0108,-9.662,ok,20.1
N0148,-9.515,ok,106.9
N0149,-9.473,ok,227.1
N0125,-9.426,ok,62.0
N0140,-9.363,ok,120.4
N0122,-9.33,ok,47.2
N0102,-9.248,ok,24.7
N0147,-9.196,ok,91.1
N0111,-9.138,ok,43.6
N0134,-9.032,ok,123.4
N0136,-8.954,ok,106.8
N0121,-8.941,ok,49.0
N0133,-8.915,ok,128.3
N0126,-8.891,ok,61.3
N0099,-8.862,ok,38.0
N0138,-8.812,ok,136.1
N0127,-8.789,ok,94.6
N0070,-8.782,ok,21.6
N0145,-8.764,ok,145.8
N0135,-8.721,ok,77.0
N0075,-8.707,ok,21.9
N0128,-8.705,ok,108.0
N0112,-8.703,ok,48.2
N0103,-8.681,ok,42.4
N0132,-8.646,ok,90.5
N0113,-8.639,ok,46.7
N0144,-8.638,ok,191.5
N0114,-8.615,ok,43.2
N0130,-8.607,ok,106.8
N0129,-8.587,ok,142.7
N0079,-8.567,ok,25.5
N0124,-8.563,ok,45.2
N0107,-8.512,ok,21.0
N0120,-8.477,ok,43.4
N0101,-8.464,ok,27.1
N0106,-8.447,ok,40.0
N0080,-8.412,ok,29.5
N0115,-8.402,ok,42.8
N0100,-8.372,ok,50.2
N0060,-8.368,ok,24.8
N0092,-8.348,ok,32.9
N0137,-8.348,ok,171.7
N0105,-8.33,ok,41.1
N0110,-8.306,ok,46.9
N0119,-8.281,ok,117.8
N0142,-8.244,ok,130.4
N0096,-8.199,ok,26.3
N0073,-8.188,ok,39.3
N0139,-8.16,ok,56.3
N0078,-8.159,ok,26.2
N0095,-8.144,ok,32.5
N0048,-8.143,ok,24.4
N0022,-8.142,ok,18.3
N0052,-8.139,ok,27.6
N0091,-8.137,ok,22.0
N0116,-8.136,ok,42.8
N0098,-8.134,ok,36.3
N0076,-8.126,ok,27.8
N0036,-8.121,ok,15.5
N0066,-8.12,ok,24.8
N0117,-8.098,ok,69.3
N0097,-8.094,ok,33.3
N0094,-8.086,ok,25.4
N0131,-8.077,ok,82.6
N0104,-8.073,ok,38.8
N0082,-8.063,ok,27.0
N0063,-8.054,ok,27.2
N0026,-8.017,ok,15.0
N0093,-7.994,ok,27.0
N0118,-7.984,ok,62.0
N0025,-7.981,ok,16.3
N0059,-7.981,ok,25.5
N0089,-7.963,ok,25.2
N0151,-7.95,ok,185.8
N0109,-7.936,ok,30.9
N0081,-7.927,ok,21.1
N0077,-7.924,ok,27.2
N0090,-7.914,ok,34.5
N0084,-7.899,ok,22.6
N0074,-7.887,ok,25.6
N0053,-7.845,ok,26.4
N0045,-7.834,ok,29.3
N0088,-7.83,ok,22.6
N0028,-7.823,ok,16.8
N0044,-7.778,ok,19.7
N0031,-7.776,ok,25.3
N0042,-7.741,ok,22.4
N0047,-7.734,ok,35.2
N0085,-7.727,ok,21.0
N0056,-7.717,ok,18.4
N0086,-7.706,ok,29.2
N0068,-7.702,ok,24.3
N0033,-7.665,ok,22.0
N0058,-7.665,ok,26.2
N0061,-7.648,ok,29.9
N0049,-7.618,ok,19.9
N0032,-7.604,ok,20.0
N0065,-7.59,ok,18.8
N0039,-7.589,ok,15.7
N0035,-7.586,ok,30.8
N0083,-7.557,ok,26.1
N0034,-7.55,ok,21.2
N0062,-7.55,ok,22.3
N0054,-7.538,ok,30.9
N0057,-7.536,ok,28.9
N0038,-7.521,ok,24.2
N0041,-7.503,ok,22.7
N0030,-7.502,ok,21.9
N0055,-7.494,ok,18.1
N0046,-7.469,ok,16.2
N0051,-7.386,ok,28.6
N0029,-7.381,ok,15.5
N0020,-7.354,ok,16.9
N0037,-7.337,ok,17.1
N0064,-7.287,ok,16.6
N0027,-7.285,ok,15.1
N0069,-7.276,ok,29.4
N0023,-7.275,ok,15.0
N0050,-7.231,ok,25.2
N0043,-7.224,ok,21.0
N0087,-7.207,ok,35.5
N0019,-7.203,ok,14.5
N0072,-7.198,ok,45.7
N0021,-7.192,ok,15.4
N0010,-7.13,ok,4.7
N0040,-7.103,ok,23.3
N0024,-6.916,ok,11.1
N0018,-6.883,ok,13.5
N0067,-6.825,ok,55.0
N0016,-6.715,ok,6.4
N0017,-6.665,ok,16.1
N0071,-6.64,ok,37.5
N0009,-6.482,ok,4.4
N0011,-6.43,ok,6.2
N0014,-6.287,ok,5.1
N0006,-6.115,ok,4.9
N0001,-6.081,ok,6.6
N0008,-6.052,ok,6.3
N0007,-6.002,ok,9.9
N0015,-5.803,ok,6.3
N0005,-5.789,ok,6.3
N0012,-5.746,ok,6.3
N0013,-5.674,ok,4.0
N0002,-5.517,ok,5.3
N0003,-5.49,ok,8.6
N0004,-5.465,ok,6.5
N0000,-5.391,ok,7.9
