rank,lig_id,name,affinity,delta_vs_AMP,footprint_overlap_residues,footprint_jaccard,beats_AMP
1,N0146,CHEMBL21930,-10.488,-1.71,10,0.37,True
2,N0123,xanthosine 5'-monophosphate,-9.678,-0.9,16,0.73,True
3,N0143,CHEMBL20503,-9.834,-1.05,15,0.60,True
4,N0141,CHEMBL431485,-9.716,-0.94,16,0.59,True
5,N0150,sofosbuvir,-9.7,-0.92,15,0.60,True
6,N0108,cyclic GMP,-9.662,-0.88,14,0.61,True
7,N0149,guanosine 5'-triphosphate,-9.473,-0.69,16,0.70,True
8,N0102,cAMP,-9.248,-0.47,16,0.80,True
9,N0111,2'-deoxyguanosine 5'-monophosphate,-9.138,-0.36,17,0.85,True
10,N0125,CHEMBL278932,-9.426,-0.65,15,0.65,True
11,N0122,GMP,-9.33,-0.55,16,0.70,True
12,N0133,cytidine 5'-diphosphate,-8.915,-0.13,15,0.83,True
13,N0148,CHEMBL17857,-9.515,-0.74,12,0.50,True
14,N0134,uridine 5'-diphosphate,-9.032,-0.25,14,0.74,True
15,N0147,adenosine 5'-triphosphate,-9.196,-0.42,17,0.63,True
16,N0132,S-adenosylmethionine,-8.646,0.13,16,0.89,False
17,N0121,guanosine monophosphate,-8.941,-0.16,16,0.73,True
18,N0070,entecavir,-8.782,-0.0,15,0.79,True
19,N0140,guanosine 5'-diphosphate,-9.363,-0.58,13,0.48,True
20,N0099,uridine 5'-monophosphate,-8.862,-0.08,15,0.71,True
21,N0103,molnupiravir,-8.681,0.1,16,0.73,False
22,N0112,AMP_5prime,-8.703,0.08,16,0.70,False
23,N0113,CHEMBL6191235,-8.639,0.14,16,0.70,False
24,N0079,guanosine,-8.567,0.21,16,0.73,False
25,N0114,inosine monophosphate,-8.615,0.16,16,0.70,False
26,N0130,PURVALANOLA,-8.607,0.17,16,0.70,False
27,N0144,CHEMBL281913,-8.638,0.14,16,0.67,False
28,N0128,sinefungin,-8.705,0.07,17,0.63,False
29,N0126,CHEMBL18238,-8.891,-0.11,12,0.52,True
30,N0129,S-adenosylhomocysteine,-8.587,0.19,16,0.67,False
31,N0127,GRISEOLIC ACID,-8.789,-0.01,13,0.57,True
32,N0107,CHEMBL9701,-8.512,0.27,14,0.67,False
33,N0075,1-methyladenosine,-8.707,0.07,13,0.57,False
34,N0120,capecitabine,-8.477,0.3,14,0.67,False
35,N0124,CHEMBL280360,-8.563,0.22,14,0.58,False
36,N0136,CHEMBL23876,-8.954,-0.17,10,0.38,True
37,N0135,CHEMBL18782,-8.721,0.06,9,0.43,False
38,N0138,adenosine 5'-diphosphate,-8.812,-0.03,11,0.38,True
39,N0145,CHEMBL17131,-8.764,0.02,9,0.36,False
40,N0101,cyclic AMP,-8.464,0.32,7,0.30,False
